phone,full_name,kyc_level,customer_type,operator,home_city,account_created_at
+2250318196001,Allison Hill,basic,individual,Moov Africa,Bouaké,2025-10-12 14:39:22.050981
+2250203056413,Noah Rhodes,premium,individual,Moov Africa,Bouaké,2024-10-12 05:45:27.874528
+2250909570154,Angie Henderson,basic,individual,Orange,Abidjan,2025-02-17 22:29:28.804980
+2250339301031,Daniel Wagner,premium,individual,Moov Africa,Daloa,2026-04-05 02:49:20.612154
+2250273602606,Cristian Santos,basic,agent,Moov Africa,Korhogo,2024-05-26 09:04:35.592812
+2250154278498,Connie Lawrence,basic,individual,Moov Africa,Daloa,2025-08-01 14:34:35.710092
+2250227868011,Abigail Shaffer,premium,individual,Moov Africa,San-Pédro,2025-08-14 23:21:58.530810
+2250854145868,Gina Moore,basic,individual,Orange,Abidjan,2025-11-18 16:06:25.776027
+2250648236629,Gabrielle Davis,standard,individual,MTN,Abidjan,2025-09-04 23:15:01.485174
+2250517278895,Ryan Munoz,premium,individual,MTN,Man,2024-10-05 12:52:17.478354
+2250516272046,Monica Herrera,basic,agent,MTN,Bouaké,2024-04-06 00:09:24.525715
+2250793149190,Jamie Arnold,basic,individual,Orange,Abidjan,2025-06-21 09:27:13.658813
+2250113678377,Lisa Hensley,basic,merchant,Moov Africa,Abidjan,2025-10-03 12:39:51.722286
+2250140824008,Michele Williams,basic,individual,Moov Africa,Gagnoa,2025-12-13 14:07:08.683786
+2250640344713,Dylan Miller,premium,individual,MTN,Korhogo,2026-05-28 04:27:07.195551
+2250549027874,Brian Ramirez,basic,individual,MTN,Yamoussoukro,2024-06-06 09:29:57.031108
+2250987603859,Holly Wood,standard,agent,Orange,Yamoussoukro,2025-03-11 08:58:54.485932
+2250627875588,Derek Zuniga,basic,individual,MTN,Man,2025-09-14 05:58:50.011457
+2250857809134,Lisa Jackson,premium,individual,Orange,Korhogo,2024-05-23 05:23:37.870411
+2250247407482,Carla Gray,basic,individual,Moov Africa,Gagnoa,2024-03-31 21:40:10.658464
+2250845171236,Margaret Hawkins DDS,premium,merchant,Orange,Daloa,2025-10-20 05:18:03.760080
+2250358506431,Patty Perez,premium,individual,Moov Africa,Daloa,2024-05-20 12:51:14.353086
+2250398569847,Ethan Adams,basic,merchant,Moov Africa,Abidjan,2026-01-22 04:35:23.205447
+2250245502296,Tommy Walter,basic,individual,Moov Africa,Korhogo,2024-10-07 15:32:17.304419
+2250696641605,Matthew Foster,basic,individual,MTN,Gagnoa,2026-03-24 03:34:19.838853
+2250827177449,Judy Baker,basic,individual,Orange,Bouaké,2025-08-23 22:11:48.852542
+2250918203778,Justin Baker,basic,agent,Orange,Abidjan,2024-06-28 00:19:44.388993
+2250192706537,Stephanie Ross,standard,merchant,Moov Africa,Korhogo,2024-12-29 21:09:49.980071
+2250398614341,Zachary Hicks,basic,merchant,Moov Africa,Abidjan,2025-09-20 23:57:35.451632
+2250567065405,Anthony Rodriguez,standard,agent,MTN,Abidjan,2024-07-19 06:04:47.668264
+2250687403450,Rebecca Henderson,standard,individual,MTN,Abidjan,2025-08-30 12:13:50.792764
+2250792755719,James Ferrell,basic,individual,Orange,Abidjan,2025-07-21 05:45:14.063035
+2250925831323,Tricia Valencia,standard,merchant,Orange,Abidjan,2024-09-21 18:50:34.802917
+2250501094396,Nathan Maldonado,standard,individual,MTN,Abidjan,2024-04-10 06:27:41.209130
+2250953278774,Debra Davidson,basic,agent,Orange,Abidjan,2024-06-25 20:11:59.668501
+2250721655852,Jeffrey Chavez,basic,individual,Orange,Bouaké,2024-01-25 22:28:37.398410
+2250851694097,Sherri Baker,basic,individual,Orange,San-Pédro,2025-09-13 04:20:52.353785
+2250852404157,Cassandra Gaines,standard,individual,Orange,Korhogo,2025-02-14 15:21:26.617404
+2250942054932,Elizabeth Fowler,standard,individual,Orange,Yamoussoukro,2025-08-17 10:59:53.339180
+2250558713971,Brittany Farmer,standard,individual,MTN,Abidjan,2025-12-06 15:13:30.967149
+2250119079030,Paula Moreno,basic,individual,Moov Africa,Abidjan,2024-04-21 11:30:06.267443
+2250605685662,Fred Smith,basic,merchant,MTN,Abidjan,2024-12-05 00:22:56.864714
+2250733173936,Sherry Decker,premium,individual,Orange,Bouaké,2025-08-15 11:39:39.266645
+2250762312038,Anthony Humphrey,basic,individual,Orange,Abidjan,2024-03-03 21:53:41.321290
+2250997401489,Angelica Tucker,standard,merchant,Orange,Abidjan,2025-11-12 18:02:51.072658
+2250794311426,Philip Cannon,standard,merchant,Orange,Yamoussoukro,2024-10-19 13:32:05.085923
+2250843799371,John Pierce,basic,individual,Orange,Abidjan,2025-09-13 05:08:35.550918
+2250735290965,Shane Henderson,premium,individual,Orange,Abidjan,2025-01-01 20:17:52.713430
+2250212382825,Joshua Blair,standard,individual,Moov Africa,Gagnoa,2024-09-22 16:13:41.421651
+2250549912513,Eric Carney,basic,individual,MTN,Abidjan,2025-07-30 00:47:34.688762
+2250778361340,Jessica Holmes,basic,individual,Orange,Abidjan,2025-07-17 03:56:58.599929
+2250526042232,Danny Morgan,standard,individual,MTN,Daloa,2025-09-22 05:26:30.716404
+2250552064361,Crystal Robinson,standard,merchant,MTN,Abidjan,2026-03-10 18:15:42.916491
+2250176137918,Mark Perez,standard,individual,Moov Africa,Abidjan,2025-09-16 20:32:49.258373
+2250691463031,Shannon Jones,premium,individual,MTN,Abidjan,2024-06-30 12:40:21.788577
+2250262208635,Michael Lewis,basic,individual,Moov Africa,Man,2026-05-19 20:53:58.573492
+2250297383206,Timothy Duncan,basic,individual,Moov Africa,Bouaké,2024-08-28 18:24:09.055491
+2250219906234,Richard Aguirre,basic,agent,Moov Africa,Abidjan,2026-03-08 19:49:16.929105
+2250571210032,Brent Jordan,basic,agent,MTN,Abidjan,2025-02-03 14:23:59.676920
+2250272099934,John Daniel,basic,individual,Moov Africa,Man,2025-11-25 18:29:37.104224
+2250355905992,Victoria Garcia,standard,individual,Moov Africa,Abidjan,2024-05-29 09:12:50.640754
+2250313552157,Gerald Hensley,basic,individual,Moov Africa,Abidjan,2024-03-11 06:21:41.060929
+2250515336884,Connor West,standard,individual,MTN,Abidjan,2024-12-21 04:05:09.929056
+2250517223320,Donald Wright,basic,individual,MTN,Gagnoa,2024-09-19 15:00:49.269793
+2250997024629,Jessica Callahan,standard,merchant,Orange,San-Pédro,2025-10-14 00:31:24.807587
+2250589023303,Amber Kidd,basic,individual,MTN,Abidjan,2025-09-03 09:05:04.499960
+2250865743748,Tracy House,standard,individual,Orange,Abidjan,2024-02-14 00:34:21.200421
+2250148251353,Carol Tucker,standard,individual,Moov Africa,Abidjan,2025-12-24 19:37:10.531160
+2250366667600,James Brown,basic,individual,Moov Africa,Korhogo,2024-08-08 00:18:14.727203
+2250861849926,William Baker,standard,individual,Orange,Abidjan,2024-10-06 03:48:48.504146
+2250661100225,Jordan Henderson,basic,individual,MTN,Abidjan,2024-05-23 07:19:02.222781
+2250890277167,Whitney Peters,basic,individual,Orange,Abidjan,2025-05-16 11:44:24.605490
+2250537589975,Brittney Phillips,standard,individual,MTN,Abidjan,2025-04-30 21:07:24.650136
+2250609177982,Lauren Daniels,premium,individual,MTN,Abidjan,2025-12-16 15:35:05.489431
+2250562003424,Amy Silva,standard,individual,MTN,Abidjan,2024-06-30 07:35:34.012240
+2250340572025,Sarah Moore,standard,individual,Moov Africa,Korhogo,2025-02-03 01:00:45.491187
+2250688770435,Angela Lopez,basic,individual,MTN,Gagnoa,2026-05-09 03:06:32.583793
+2250545088210,Megan Young,basic,individual,MTN,Yamoussoukro,2024-05-25 17:03:21.549521
+2250656205336,Steve Sanchez,basic,individual,MTN,Abidjan,2025-09-08 02:10:36.623699
+2250775037314,Lisa Barnes,basic,individual,Orange,Abidjan,2024-02-29 20:44:32.552572
+2250165177739,Kelly Donovan,basic,individual,Moov Africa,Daloa,2024-09-17 00:47:44.780975
+2250899136621,Mike Allen,basic,individual,Orange,Bouaké,2026-01-05 10:05:50.909701
+2250394486959,Michael Evans,basic,individual,Moov Africa,San-Pédro,2025-07-21 03:16:44.991406
+2250714656693,Paul Jones,basic,individual,Orange,Korhogo,2025-07-23 07:47:51.488885
+2250773334333,Zachary Ferrell,standard,individual,Orange,Daloa,2025-12-23 09:23:41.147467
+2250662718750,Daniel Baker,basic,individual,MTN,Abidjan,2025-04-11 18:04:30.754322
+2250561203471,Shirley Suarez,basic,individual,MTN,Abidjan,2025-04-04 13:45:52.923720
+2250911492164,Christopher Bass,basic,merchant,Orange,Korhogo,2026-04-13 22:35:02.049261
+2250154780774,Lisa Archer,basic,individual,Moov Africa,Abidjan,2025-09-09 21:49:34.581730
+2250697497350,Aimee Montoya,basic,individual,MTN,Gagnoa,2025-12-23 17:13:37.070058
+2250852088147,Matthew Mcmillan,standard,individual,Orange,Abidjan,2025-04-16 12:08:30.069514
+2250873065240,Brian Rodriguez,basic,individual,Orange,Abidjan,2024-02-01 08:24:44.065407
+2250878994053,Denise Jacobs,standard,individual,Orange,Abidjan,2026-05-02 23:28:33.485074
+2250893983684,Christina Walters,basic,individual,Orange,Bouaké,2024-11-28 17:55:13.913145
+2250534419693,John Whitehead,standard,individual,MTN,San-Pédro,2026-01-30 18:38:45.252347
+2250727837693,Anna Henderson,standard,individual,Orange,Gagnoa,2025-03-22 10:09:07.632085
+2250221103924,Aaron Wise,basic,individual,Moov Africa,San-Pédro,2024-06-21 18:45:03.377029
+2250355438404,Deborah Figueroa,standard,individual,Moov Africa,Man,2024-08-24 14:26:55.164379
+2250172897526,Jessica Smith,basic,individual,Moov Africa,Abidjan,2025-11-11 18:15:32.548339
+2250577181298,Stephen Mckee,basic,individual,MTN,Abidjan,2026-04-13 07:36:40.308875
+2250538498302,Sandra Aguilar,basic,individual,MTN,San-Pédro,2025-05-03 00:23:20.670073
+2250568147214,Cameron Parker,basic,individual,MTN,Abidjan,2025-07-15 16:29:55.417695
+2250172785760,Rebecca Valencia,standard,merchant,Moov Africa,Abidjan,2025-04-15 01:22:14.110835
+2250191570184,Christine Wright,basic,individual,Moov Africa,Korhogo,2025-03-04 16:07:13.555142
+2250695453817,Richard Henson,standard,individual,MTN,Abidjan,2024-12-30 20:31:13.849827
+2250521971997,Marc Moore,basic,individual,MTN,Abidjan,2025-01-24 20:41:44.187131
+2250172386562,Sharon Cherry,basic,individual,Moov Africa,Daloa,2025-05-19 01:27:16.542410
+2250584689500,Sierra Johnson,standard,individual,MTN,San-Pédro,2026-05-24 01:45:12.155396
+2250665442094,Evelyn Galvan,standard,individual,MTN,Bouaké,2025-03-13 01:06:49.781839
+2250665801856,Sharon Cochran,standard,individual,MTN,San-Pédro,2025-05-19 10:54:55.137809
+2250724471746,Richard Rodriguez,standard,individual,Orange,San-Pédro,2025-01-25 20:24:41.842739
+2250700642569,Shannon Walker,basic,individual,Orange,San-Pédro,2025-05-09 19:29:18.937591
+2250205061387,Julia Torres,premium,agent,Moov Africa,Daloa,2024-02-14 09:55:15.083273
+2250994672324,Crystal Johnson,basic,merchant,Orange,Abidjan,2026-05-24 06:01:47.518907
+2250872200543,Garrett Lin,basic,individual,Orange,Abidjan,2024-07-10 10:18:52.951308
+2250553492929,Diana May,premium,individual,MTN,Daloa,2024-05-23 19:43:03.470021
+2250989319508,William Herrera,premium,individual,Orange,San-Pédro,2024-08-17 06:02:41.612727
+2250904682756,Ashley Waller,basic,individual,Orange,Yamoussoukro,2025-03-27 04:12:55.662330
+2250525472928,Victor Baker,basic,individual,MTN,Gagnoa,2025-07-12 19:18:28.467287
+2250874929751,Jeffrey Chandler,standard,agent,Orange,Man,2025-03-17 14:11:18.645943
+2250659980562,Larry Dixon,standard,individual,MTN,Abidjan,2024-02-06 09:34:18.610635
+2250630024471,Kenneth Scott,standard,individual,MTN,Man,2024-06-07 14:00:40.370976
+2250583219285,April Frost,standard,individual,MTN,Daloa,2025-07-26 13:45:55.629570
+2250601322342,Michelle Harmon,basic,merchant,MTN,Gagnoa,2024-08-07 23:52:51.700479
+2250149552893,Helen Jones,basic,individual,Moov Africa,Abidjan,2024-10-27 10:19:49.981292
+2250182754801,Erin Edwards,basic,individual,Moov Africa,Abidjan,2024-01-29 19:26:21.488466
+2250678427114,Michelle Evans,basic,individual,MTN,Abidjan,2024-03-05 14:38:51.996930
+2250506167567,Jason Powell,basic,individual,MTN,Abidjan,2024-06-29 07:09:43.337363
+2250133491141,Cameron Fisher,basic,individual,Moov Africa,Abidjan,2025-06-08 04:20:29.223230
+2250682082973,Megan Orr,standard,individual,MTN,Daloa,2025-06-06 02:50:10.162288
+2250381898471,Elizabeth Kelley,basic,merchant,Moov Africa,Abidjan,2026-01-28 21:58:16.487218
+2250524815698,Dustin Jordan,standard,individual,MTN,Bouaké,2025-08-15 16:41:12.559272
+2250993173420,Mary Marshall,basic,merchant,Orange,Abidjan,2025-11-17 07:38:49.592341
+2250269411800,Daniel Kennedy,basic,merchant,Moov Africa,Abidjan,2025-06-20 14:45:50.773062
+2250677121513,Rebecca Jackson,standard,agent,MTN,Abidjan,2026-04-25 05:09:50.870531
+2250918961642,Jose Schultz,basic,merchant,Orange,Korhogo,2025-09-27 17:52:29.123963
+2250327881476,Robert Potter,basic,individual,Moov Africa,Daloa,2025-04-24 13:13:24.896086
+2250568006102,Courtney Gonzalez,standard,individual,MTN,Bouaké,2024-01-31 21:48:53.066043
+2250546717957,David Alvarez,standard,individual,MTN,Abidjan,2026-05-14 01:09:06.762921
+2250784289107,Angel Perry,standard,individual,Orange,Gagnoa,2024-01-21 23:33:35.349811
+2250908466845,Cheyenne Horton,premium,individual,Orange,Abidjan,2024-11-05 10:44:33.588838
+2250554492683,David Douglas Jr.,basic,individual,MTN,Bouaké,2024-12-03 12:01:38.122710
+2250811594082,Patricia Rodriguez,basic,merchant,Orange,Abidjan,2024-02-27 04:10:49.484425
+2250581398909,Christopher Rubio,basic,individual,MTN,Korhogo,2024-09-25 14:23:59.617654
+2250511824224,Amber Wright,standard,individual,MTN,Abidjan,2026-01-12 15:44:59.070149
+2250148913824,Joyce Solis,standard,individual,Moov Africa,Abidjan,2025-06-12 00:25:44.129697
+2250184639855,Victoria Larson,standard,individual,Moov Africa,Gagnoa,2025-06-22 13:28:12.908315
+2250717537030,Stephanie Salazar,standard,individual,Orange,San-Pédro,2024-08-04 05:01:44.655761
+2250999219212,Kathy Rivas,basic,individual,Orange,Bouaké,2025-12-13 21:19:46.066543
+2250260954317,Stephanie Manning,basic,individual,Moov Africa,Abidjan,2024-12-05 00:21:01.074549
+2250100249685,David Wright,basic,individual,Moov Africa,Man,2024-12-09 11:08:08.128824
+2250273950033,Pamela Boyd,basic,individual,Moov Africa,Abidjan,2026-05-04 12:50:05.491285
+2250342897317,Denise Jones,standard,merchant,Moov Africa,Yamoussoukro,2026-01-21 23:45:02.739645
+2250183535444,Devon Flores,basic,individual,Moov Africa,Yamoussoukro,2026-03-06 09:01:36.777377
+2250159741218,Brenda Hall,basic,individual,Moov Africa,Daloa,2025-02-22 03:58:31.956640
+2250643027169,Michelle Brown,standard,individual,MTN,Bouaké,2025-01-07 07:40:01.371063
+2250877711837,Joshua Perry,basic,individual,Orange,Daloa,2025-08-15 05:52:05.574804
+2250670900633,Jason Stein,basic,individual,MTN,Abidjan,2024-04-14 14:04:29.599611
+2250250637314,Melissa Gates,standard,individual,Moov Africa,Abidjan,2025-07-26 01:28:31.706155
+2250786403553,Jamie Smith,basic,individual,Orange,Abidjan,2025-10-01 22:05:42.132923
+2250747156627,Paul Castaneda,basic,individual,Orange,Bouaké,2025-01-16 21:28:58.081899
+2250665674916,Jennifer Adkins,standard,merchant,MTN,Gagnoa,2025-07-10 18:24:28.007257
+2250583626448,Lindsey Walker,premium,individual,MTN,San-Pédro,2025-06-20 12:26:04.953893
+2250210040901,Jeffrey Johnson,basic,individual,Moov Africa,Korhogo,2026-05-04 20:07:13.120161
+2250269156716,Michael Powell,basic,agent,Moov Africa,Abidjan,2024-10-21 02:11:06.896086
+2250540983665,John Anderson,standard,individual,MTN,Korhogo,2024-02-25 05:32:07.700485
+2250947292774,Alyssa Long,standard,individual,Orange,Abidjan,2025-01-13 11:14:05.309352
+2250761764750,Alyssa Day,basic,individual,Orange,Abidjan,2025-04-02 20:07:35.203812
+2250348729758,Joel Williams,premium,agent,Moov Africa,Gagnoa,2025-10-27 16:31:19.630053
+2250935989262,Daniel Murphy,basic,individual,Orange,Korhogo,2025-10-09 11:15:44.946537
+2250725625889,Jamie Walton,standard,individual,Orange,Abidjan,2025-02-07 09:58:59.751495
+2250741465111,Darlene Miller,standard,individual,Orange,Gagnoa,2025-03-06 04:27:17.229899
+2250990972832,Joshua Cooke,basic,individual,Orange,Daloa,2025-10-31 05:51:47.202028
+2250584177225,Matthew Harrington,standard,individual,MTN,Abidjan,2025-09-13 14:50:39.781408
+2250269067447,Nicole Herring,basic,individual,Moov Africa,Abidjan,2026-03-10 15:14:50.761670
+2250508255598,Alex Hernandez,standard,individual,MTN,Abidjan,2025-07-20 00:03:12.247983
+2250886694320,Michael Elliott,basic,merchant,Orange,Abidjan,2026-01-07 07:50:30.306327
+2250165271727,Michael Wang,basic,individual,Moov Africa,Daloa,2024-08-17 05:50:37.668179
+2250185132797,Lawrence Adkins,standard,merchant,Moov Africa,Abidjan,2024-07-14 01:46:01.137477
+2250917213145,Robert Oconnell,basic,individual,Orange,Abidjan,2024-03-24 05:41:47.581978
